Freq0,Freq1,Freq2,Freq3,Freq4,Freq5,Freq6,Freq7,Freq8,Freq9,Freq10,Freq11,Freq12,Freq13,Freq14,Freq15,Freq16,Freq17,Freq18,Freq19,Freq20
-0.088,-0.088,-0.088,-0.125,-0.125,-0.125,0.136,0.136,0.136,0.040,0.040,0.040,0.058,0.058,0.058,-0.082,-0.082,-0.082,-0.128,-0.128,-0.128
0.022,0.022,0.022,0.030,0.030,0.030,-0.012,-0.012,-0.012,0.006,0.006,0.006,0.090,0.090,0.090,-0.028,-0.028,-0.028,-0.002,-0.002,-0.002
0.105,0.105,0.105,0.028,0.028,0.028,0.102,0.102,0.102,0.005,0.005,0.005,0.015,0.015,0.015,0.063,0.063,0.063,-0.005,-0.005,-0.005
0.039,0.039,0.039,0.118,0.118,0.118,0.042,0.042,0.042,-0.049,-0.049,-0.049,-0.104,-0.104,-0.104,0.030,0.030,0.030,-0.041,-0.041,-0.041
0.057,0.057,0.057,-0.050,-0.050,-0.050,0.208,0.208,0.208,-0.114,-0.114,-0.114,-0.030,-0.030,-0.030,-0.075,-0.075,-0.075,0.080,0.080,0.080
-0.153,-0.153,-0.153,-0.083,-0.083,-0.083,-0.034,-0.034,-0.034,-0.057,-0.057,-0.057,0.013,0.013,0.013,-0.073,-0.073,-0.073,0.086,0.086,0.086
0.002,0.002,0.002,-0.028,-0.028,-0.028,0.029,0.029,0.029,0.072,0.072,0.072,-0.025,-0.025,-0.025,0.033,0.033,0.033,0.035,0.035,0.035
0.023,0.023,0.023,-0.144,-0.144,-0.144,-0.015,-0.015,-0.015,-0.024,-0.024,-0.024,0.060,0.060,0.060,0.026,0.026,0.026,-0.044,-0.044,-0.044
0.027,0.027,0.027,0.061,0.061,0.061,-0.053,-0.053,-0.053,0.031,0.031,0.031,0.034,0.034,0.034,-0.040,-0.040,-0.040,0.080,0.080,0.080
0.004,0.004,0.004,-0.062,-0.062,-0.062,0.052,0.052,0.052,0.018,0.018,0.018,0.087,0.087,0.087,-0.058,-0.058,-0.058,-0.029,-0.029,-0.029
-0.089,-0.089,-0.089,0.046,0.046,0.046,-0.054,-0.054,-0.054,0.059,0.059,0.059,0.075,0.075,0.075,-0.013,-0.013,-0.013,0.154,0.154,0.154
-0.026,-0.026,-0.026,0.076,0.076,0.076,-0.074,-0.074,-0.074,0.017,0.017,0.017,0.098,0.098,0.098,-0.054,-0.054,-0.054,0.020,0.020,0.020
-0.009,-0.009,-0.009,0.026,0.026,0.026,0.072,0.072,0.072,0.026,0.026,0.026,0.049,0.049,0.049,0.179,0.179,0.179,0.096,0.096,0.096
-0.078,-0.078,-0.078,-0.058,-0.058,-0.058,-0.044,-0.044,-0.044,-0.035,-0.035,-0.035,-0.038,-0.038,-0.038,-0.016,-0.016,-0.016,-0.063,-0.063,-0.063
-0.006,-0.006,-0.006,-0.105,-0.105,-0.105,0.047,0.047,0.047,-0.039,-0.039,-0.039,-0.127,-0.127,-0.127,-0.042,-0.042,-0.042,-0.047,-0.047,-0.047
0.073,0.073,0.073,0.034,0.034,0.034,0.041,0.041,0.041,-0.081,-0.081,-0.081,-0.098,-0.098,-0.098,0.083,0.083,0.083,0.076,0.076,0.076
0.036,0.036,0.036,-0.055,-0.055,-0.055,-0.019,-0.019,-0.019,-0.084,-0.084,-0.084,-0.151,-0.151,-0.151,-0.113,-0.113,-0.113,-0.063,-0.063,-0.063
-0.058,-0.058,-0.058,0.070,0.070,0.070,0.024,0.024,0.024,-0.002,-0.002,-0.002,-0.033,-0.033,-0.033,0.019,0.019,0.019,0.027,0.027,0.027
0.007,0.007,0.007,-0.015,-0.015,-0.015,-0.097,-0.097,-0.097,0.077,0.077,0.077,-0.044,-0.044,-0.044,-0.004,-0.004,-0.004,-0.120,-0.120,-0.120
-0.089,-0.089,-0.089,0.021,0.021,0.021,-0.070,-0.070,-0.070,-0.135,-0.135,-0.135,0.068,0.068,0.068,0.014,0.014,0.014,0.065,0.065,0.065
0.040,0.040,0.040,-0.099,-0.099,-0.099,0.056,0.056,0.056,-0.009,-0.009,-0.009,0.039,0.039,0.039,0.038,0.038,0.038,-0.023,-0.023,-0.023
-0.022,-0.022,-0.022,0.056,0.056,0.056,-0.038,-0.038,-0.038,0.044,0.044,0.044,-0.043,-0.043,-0.043,-0.080,-0.080,-0.080,-0.097,-0.097,-0.097
