Freq0,Freq1,Freq2,Freq3,Freq4,Freq5,Freq6,Freq7,Freq8,Freq9,Freq10,Freq11,Freq12,Freq13,Freq14,Freq15,Freq16,Freq17,Freq18,Freq19,Freq20
0.631,0.631,0.631,0.459,0.459,0.459,0.372,0.372,0.372,0.435,0.435,0.435,0.387,0.387,0.387,0.429,0.429,0.429,0.432,0.432,0.432
0.159,0.159,0.159,0.171,0.171,0.171,0.165,0.165,0.165,0.094,0.094,0.094,0.025,0.025,0.025,0.178,0.178,0.178,0.161,0.161,0.161
-0.172,-0.172,-0.172,-0.072,-0.072,-0.072,-0.094,-0.094,-0.094,-0.077,-0.077,-0.077,0.062,0.062,0.062,0.170,0.170,0.170,0.223,0.223,0.223
0.368,0.368,0.368,0.286,0.286,0.286,0.371,0.371,0.371,0.376,0.376,0.376,0.385,0.385,0.385,0.396,0.396,0.396,0.426,0.426,0.426
0.000,0.000,0.000,0.092,0.092,0.092,-0.093,-0.093,-0.093,0.028,0.028,0.028,0.108,0.108,0.108,0.135,0.135,0.135,0.100,0.100,0.100
-0.291,-0.291,-0.291,-0.377,-0.377,-0.377,-0.229,-0.229,-0.229,-0.315,-0.315,-0.315,-0.240,-0.240,-0.240,-0.130,-0.130,-0.130,-0.212,-0.212,-0.212
0.139,0.139,0.139,0.130,0.130,0.130,0.088,0.088,0.088,0.085,0.085,0.085,0.073,0.073,0.073,0.062,0.062,0.062,0.047,0.047,0.047
-0.154,-0.154,-0.154,-0.004,-0.004,-0.004,-0.040,-0.040,-0.040,-0.031,-0.031,-0.031,-0.135,-0.135,-0.135,0.071,0.071,0.071,0.070,0.070,0.070
-0.162,-0.162,-0.162,-0.134,-0.134,-0.134,-0.108,-0.108,-0.108,-0.052,-0.052,-0.052,0.027,0.027,0.027,0.182,0.182,0.182,0.116,0.116,0.116
0.375,0.375,0.375,0.402,0.402,0.402,0.293,0.293,0.293,0.288,0.288,0.288,0.234,0.234,0.234,0.301,0.301,0.301,0.261,0.261,0.261
0.115,0.115,0.115,0.056,0.056,0.056,0.018,0.018,0.018,0.033,0.033,0.033,0.063,0.063,0.063,0.104,0.104,0.104,0.130,0.130,0.130
-0.254,-0.254,-0.254,-0.217,-0.217,-0.217,-0.194,-0.194,-0.194,-0.136,-0.136,-0.136,-0.069,-0.069,-0.069,0.022,0.022,0.022,0.060,0.060,0.060
