-1.1689,1.6478,10.512,27.69
-1.0488,1.7526,10.56,28.513
-0.93663,1.6668,10.641,29.483
-0.87193,1.7223,10.783,30.415
-0.87206,1.6661,11.036,31.399
-0.6714,1.715,11.218,32.442
-1.0808,1.6884,11.843,33.384
-1.4017,1.684,12.325,34.223
-1.4599,1.8257,12.617,35.266
-1.854,1.9316,13.088,36.207
-2.1032,1.9755,13.368,37.251
-2.7769,2.0074,13.931,38.132
-3.494,2.0383,14.553,39.026
-3.8628,1.7797,15.032,39.978
-2.1416,1.3103,15.13,40.92
-1.7293,1.0305,15.446,41.816
-0.11813,0.49013,15.769,42.755
-0.11813,0.49013,15.769,43.755
-0.11813,0.49013,15.769,44.755
-0.11813,0.49013,15.769,45.755
-0.11813,0.49013,15.769,46.755
-0.11813,0.49013,15.769,47.755
-0.11813,0.49013,15.769,48.755
-0.11813,0.49013,15.769,49.755
-0.11813,0.49013,15.769,50.755
-0.11813,0.49013,15.769,51.755
-0.11813,0.49013,15.769,52.755
-0.11813,0.49013,15.769,53.755
-0.11813,0.49013,15.769,54.755
-0.11813,0.49013,15.769,55.755
-0.11813,0.49013,15.769,56.755
-0.11813,0.49013,15.769,57.755
-0.11813,0.49013,15.769,58.755
-0.11813,0.49013,15.769,59.755
-0.11813,0.49013,15.769,60.755
-0.11813,0.49013,15.769,61.755
