频点0,频点1,频点2,频点3,频点4,频点5,频点6,频点7,频点8,频点9,频点10,频点11,频点12,频点13,频点14,频点15,频点16,频点17,频点18,频点19,频点20
0.963326365878188,0.963326365878188,0.963326365878188,0.981374089540182,0.981374089540182,0.981374089540182,1,1,1,0.957194859248455,0.957194859248455,0.957194859248455,0.954233922520562,0.954233922520562,0.954233922520562,0.938216435907914,0.938216435907914,0.938216435907914,0.958430498563776,0.958430498563776,0.958430498563776
0.996439809629177,0.996439809629177,0.996439809629177,1,1,1,0.984193513688701,0.984193513688701,0.984193513688701,1,1,1,0.997442071198868,0.997442071198868,0.997442071198868,0.961209751025739,0.961209751025739,0.961209751025739,0.947463639382123,0.947463639382123,0.947463639382123
0.87994306081615,0.87994306081615,0.87994306081615,0.906045240433663,0.906045240433663,0.906045240433663,0.87964846078926,0.87964846078926,0.87964846078926,0.882321309640486,0.882321309640486,0.882321309640486,0.888049595599154,0.888049595599154,0.888049595599154,0.881586029568071,0.881586029568071,0.881586029568071,0.875904155887743,0.875904155887743,0.875904155887743
0.951098931572539,0.951098931572539,0.951098931572539,0.935733807073452,0.935733807073452,0.935733807073452,0.932932441752155,0.932932441752155,0.932932441752155,0.94488609031947,0.94488609031947,0.94488609031947,0.971641203659366,0.971641203659366,0.971641203659366,0.938825155434208,0.938825155434208,0.938825155434208,0.961306310024891,0.961306310024891,0.961306310024891
0.914760036209404,0.914760036209404,0.914760036209404,0.905505118988692,0.905505118988692,0.905505118988692,0.892449372339261,0.892449372339261,0.892449372339261,0.899440547990446,0.899440547990446,0.899440547990446,0.919167272100867,0.919167272100867,0.919167272100867,0.90604139804053,0.90604139804053,0.90604139804053,0.904564038063596,0.904564038063596,0.904564038063596
0.935364719887493,0.935364719887493,0.935364719887493,0.906834521661348,0.906834521661348,0.906834521661348,0.909817097184507,0.909817097184507,0.909817097184507,0.933871420549116,0.933871420549116,0.933871420549116,0.951969698195229,0.951969698195229,0.951969698195229,0.919667327561644,0.919667327561644,0.919667327561644,0.94010316818838,0.94010316818838,0.94010316818838
0.941663387211242,0.941663387211242,0.941663387211242,0.947564297458988,0.947564297458988,0.947564297458988,0.925174908000721,0.925174908000721,0.925174908000721,0.960642729945058,0.960642729945058,0.960642729945058,0.953786444872345,0.953786444872345,0.953786444872345,0.951570250501053,0.951570250501053,0.951570250501053,0.990822622662886,0.990822622662886,0.990822622662886
0.996441916814347,0.996441916814347,0.996441916814347,0.933509415978938,0.933509415978938,0.933509415978938,0.946479454656079,0.946479454656079,0.946479454656079,0.963183383518018,0.963183383518018,0.963183383518018,0.967968461918,0.967968461918,0.967968461918,0.978288865132723,0.978288865132723,0.978288865132723,0.973743540949088,0.973743540949088,0.973743540949088
0.917400907900585,0.917400907900585,0.917400907900585,0.93150018633453,0.93150018633453,0.93150018633453,0.929740210825131,0.929740210825131,0.929740210825131,0.939563330302465,0.939563330302465,0.939563330302465,0.95143389407705,0.95143389407705,0.95143389407705,0.921713035175544,0.921713035175544,0.921713035175544,0.934298157780432,0.934298157780432,0.934298157780432
0.848561413878636,0.848561413878636,0.848561413878636,0.850555333091812,0.850555333091812,0.850555333091812,0.83310646617988,0.83310646617988,0.83310646617988,0.875730856627252,0.875730856627252,0.875730856627252,0.871213839827128,0.871213839827128,0.871213839827128,0.861204066794146,0.861204066794146,0.861204066794146,0.867224357364034,0.867224357364034,0.867224357364034
0.925199841845662,0.925199841845662,0.925199841845662,0.914314146755247,0.914314146755247,0.914314146755247,0.914268504416202,0.914268504416202,0.914268504416202,0.926468127683221,0.926468127683221,0.926468127683221,0.931039698925212,0.931039698925212,0.931039698925212,0.922371040602575,0.922371040602575,0.922371040602575,0.944822738974931,0.944822738974931,0.944822738974931
0.930111407592108,0.930111407592108,0.930111407592108,0.920808424547367,0.920808424547367,0.920808424547367,0.925389431161277,0.925389431161277,0.925389431161277,0.951704652921582,0.951704652921582,0.951704652921582,0.979367440512394,0.979367440512394,0.979367440512394,0.955344451121397,0.955344451121397,0.955344451121397,0.947726113173343,0.947726113173343,0.947726113173343
