通道1,通道2,通道3,通道4,通道5,通道6,通道7,通道8
357.52,4.72,2.21,4.24,2.18,10.10,5.54,3.53
338.99,338.91,341.67,344.22,350.73,2.61,0.61,344.91
346.92,358.66,9.49,10.83,6.73,4.96,5.18,0.97
329.15,332.08,337.04,335.39,330.90,338.15,343.45,336.89
341.41,344.17,2.05,358.41,354.85,0.20,0.17,351.16
324.06,332.08,334.10,344.51,332.64,339.09,336.09,335.75
332.50,331.87,344.15,339.70,340.59,345.05,334.70,339.49
319.38,321.47,325.11,322.01,332.57,332.76,325.96,320.13
341.43,342.52,353.95,352.14,354.01,345.67,351.36,349.08
327.14,331.71,336.90,347.09,337.87,336.86,345.25,333.50
354.05,359.08,6.08,1.46,2.18,9.48,11.85,2.87
315.16,323.21,339.58,340.56,337.51,335.69,337.85,328.15
342.65,339.65,344.74,339.17,346.88,341.51,339.02,335.74
356.38,353.93,355.81,357.54,345.87,358.94,354.03,349.95
345.45,348.23,7.55,3.13,359.64,355.59,3.39,355.16
345.61,351.63,355.36,352.15,357.20,2.57,4.25,354.04
10.00,10.30,17.35,20.73,359.89,13.27,3.58,8.39
349.76,346.23,354.97,353.02,348.98,353.13,342.62,346.43
345.61,341.60,352.76,357.01,348.02,348.75,342.86,345.89
353.02,353.39,5.04,3.49,9.08,2.64,0.05,0.07
333.76,342.85,341.55,357.81,338.37,344.49,353.17,331.04
329.03,332.36,342.48,339.19,348.76,349.86,348.96,339.77
353.37,358.96,10.23,19.09,11.91,6.20,5.35,10.19
345.39,350.54,3.24,357.57,1.53,4.29,359.15,358.89
1.93,9.83,14.63,18.92,18.79,23.11,26.18,16.02
359.64,359.07,7.86,4.34,1.03,7.78,10.51,5.71
346.41,345.67,353.77,359.71,356.77,355.32,351.86,346.60
352.63,5.41,4.96,9.32,2.62,12.39,4.00,2.20
351.43,0.37,6.09,357.86,353.12,4.19,356.56,0.52
332.36,333.78,343.11,348.02,337.27,335.53,334.91,341.63
314.86,5.82,0.32,1.74,357.29,345.70,0.14,359.56
332.03,0.25,2.42,8.46,0.77,3.73,7.40,0.66
344.53,342.26,346.83,359.01,353.40,354.41,358.63,352.97
347.72,356.94,0.04,4.76,0.89,356.46,356.46,350.40
335.08,339.58,355.65,348.31,339.68,344.80,351.75,340.97
346.78,348.47,350.50,358.14,351.20,359.39,343.72,351.24
