通道1,通道2,通道3,通道4,通道5,通道6,通道7,通道8
333.59,334.79,330.74,333.61,336.74,336.21,333.00,333.69
315.18,315.91,315.95,319.34,319.01,330.49,330.35,316.61
316.59,328.37,335.64,335.09,338.18,330.26,331.02,328.00
299.42,296.46,304.26,298.26,295.50,300.32,311.03,304.88
309.22,318.47,326.13,324.24,318.89,322.43,322.81,322.76
290.25,301.92,299.17,304.28,296.87,299.66,302.21,291.63
303.69,295.25,303.56,301.86,307.71,309.94,296.49,298.94
288.73,289.66,293.47,288.91,296.08,291.58,293.84,287.09
304.11,313.27,315.84,315.03,321.51,313.89,308.98,311.38
294.00,297.49,302.31,309.07,302.43,297.41,308.79,296.59
322.22,327.39,321.57,319.51,321.03,329.24,331.57,323.07
279.97,292.96,305.01,297.71,296.41,293.65,300.33,295.61
306.10,305.38,310.09,303.74,311.97,308.56,302.35,301.69
320.49,317.63,318.65,319.02,309.05,315.10,315.90,310.94
313.91,322.25,328.95,327.30,329.60,328.44,327.96,320.99
307.95,317.85,317.14,309.35,315.70,317.34,327.90,315.62
332.07,335.57,336.69,343.00,326.87,340.91,322.66,332.43
313.30,313.37,313.50,318.91,308.27,311.94,308.93,301.35
309.65,308.09,319.77,315.18,318.24,315.60,304.22,304.17
306.83,319.26,325.49,325.13,327.21,325.79,322.10,322.28
296.95,306.15,302.48,315.41,301.04,304.63,306.18,294.63
287.95,298.34,301.05,297.55,300.50,305.61,312.01,296.21
311.70,324.75,329.26,333.94,333.03,323.25,326.15,329.48
309.37,314.56,316.10,314.87,313.98,318.97,322.26,312.46
320.96,330.25,330.00,335.77,339.06,336.97,341.50,338.15
321.20,321.04,323.84,323.08,319.70,326.09,331.99,321.00
305.55,307.53,316.65,315.15,320.04,313.60,312.06,305.03
313.90,320.64,322.25,319.59,318.79,323.55,320.11,315.81
314.23,321.90,324.65,321.38,310.93,327.21,314.50,320.18
286.44,302.22,300.18,309.97,297.49,293.57,295.30,295.30
301.54,314.53,323.97,308.27,322.04,301.64,313.01,320.88
318.71,309.57,324.85,324.16,320.66,319.28,328.54,317.47
298.11,310.98,308.54,316.42,319.76,311.69,312.80,318.65
312.26,315.45,320.73,323.89,318.88,314.76,320.34,308.34
304.00,308.99,315.98,305.78,301.51,304.74,303.14,308.50
329.43,329.58,323.71,333.33,326.85,335.05,324.21,325.27
