频点0,频点1,频点2,频点3,频点4,频点5,频点6,频点7,频点8,频点9,频点10,频点11,频点12,频点13,频点14,频点15,频点16,频点17,频点18,频点19,频点20
0.77590000629425,0.77590000629425,0.77590000629425,0.800899982452393,0.800899982452393,0.800899982452393,0.890500009059906,0.890500009059906,0.890500009059906,0.894900023937225,0.894900023937225,0.894900023937225,0.811200022697449,0.811200022697449,0.811200022697449,0.809599995613098,0.809599995613098,0.809599995613098,0.897199988365173,0.897199988365173,0.897199988365173
0.801500022411346,0.801500022411346,0.801500022411346,0.811900019645691,0.811900019645691,0.811900019645691,0.936100006103516,0.936100006103516,0.936100006103516,0.920499980449677,0.920499980449677,0.920499980449677,0.848699986934662,0.848699986934662,0.848699986934662,0.835600018501282,0.835600018501282,0.835600018501282,0.88510000705719,0.88510000705719,0.88510000705719
0.824199974536896,0.824199974536896,0.824199974536896,0.857699990272522,0.857699990272522,0.857699990272522,0.985899984836578,0.985899984836578,0.985899984836578,0.965699970722198,0.965699970722198,0.965699970722198,0.879400014877319,0.879400014877319,0.879400014877319,0.877699971199036,0.877699971199036,0.877699971199036,0.963199973106384,0.963199973106384,0.963199973106384
0.810999989509583,0.810999989509583,0.810999989509583,0.8367999792099,0.8367999792099,0.8367999792099,0.966799974441528,0.966799974441528,0.966799974441528,0.933200001716614,0.933200001716614,0.933200001716614,0.863200008869171,0.863200008869171,0.863200008869171,0.846199989318848,0.846199989318848,0.846199989318848,0.946200013160706,0.946200013160706,0.946200013160706
0.753199994564056,0.753199994564056,0.753199994564056,0.781799972057343,0.781799972057343,0.781799972057343,0.871900022029877,0.871900022029877,0.871900022029877,0.894500017166138,0.894500017166138,0.894500017166138,0.822399973869324,0.822399973869324,0.822399973869324,0.797500014305115,0.797500014305115,0.797500014305115,0.88239997625351,0.88239997625351,0.88239997625351
0.855599999427795,0.855599999427795,0.855599999427795,0.886099994182587,0.886099994182587,0.886099994182587,1,1,1,1,1,1,0.929799973964691,0.929799973964691,0.929799973964691,0.905399978160858,0.905399978160858,0.905399978160858,1,1,1
0.827700018882751,0.827700018882751,0.827700018882751,0.836300015449524,0.836300015449524,0.836300015449524,0.939100027084351,0.939100027084351,0.939100027084351,0.958500027656555,0.958500027656555,0.958500027656555,0.866500020027161,0.866500020027161,0.866500020027161,0.8367999792099,0.8367999792099,0.8367999792099,0.961399972438812,0.961399972438812,0.961399972438812
0.783900022506714,0.783900022506714,0.783900022506714,0.807500004768372,0.807500004768372,0.807500004768372,0.921500027179718,0.921500027179718,0.921500027179718,0.91509997844696,0.91509997844696,0.91509997844696,0.846599996089935,0.846599996089935,0.846599996089935,0.836600005626678,0.836600005626678,0.836600005626678,0.914900004863739,0.914900004863739,0.914900004863739
0.794900000095367,0.794900000095367,0.794900000095367,0.827600002288818,0.827600002288818,0.827600002288818,0.920400023460388,0.920400023460388,0.920400023460388,0.917100012302399,0.917100012302399,0.917100012302399,0.83270001411438,0.83270001411438,0.83270001411438,0.821200013160706,0.821200013160706,0.821200013160706,0.926599979400635,0.926599979400635,0.926599979400635
0.789799988269806,0.789799988269806,0.789799988269806,0.799099981784821,0.799099981784821,0.799099981784821,0.912199974060059,0.912199974060059,0.912199974060059,0.914200007915497,0.914200007915497,0.914200007915497,0.821200013160706,0.821200013160706,0.821200013160706,0.822499990463257,0.822499990463257,0.822499990463257,0.903999984264374,0.903999984264374,0.903999984264374
0.869899988174438,0.869899988174438,0.869899988174438,0.901700019836426,0.901700019836426,0.901700019836426,0.987900018692017,0.987900018692017,0.987900018692017,0.994199991226196,0.994199991226196,0.994199991226196,0.938099980354309,0.938099980354309,0.938099980354309,0.89139997959137,0.89139997959137,0.89139997959137,0.986599981784821,0.986599981784821,0.986599981784821
0.763800024986267,0.763800024986267,0.763800024986267,0.796199977397919,0.796199977397919,0.796199977397919,0.895900011062622,0.895900011062622,0.895900011062622,0.916000008583069,0.916000008583069,0.916000008583069,0.797699987888336,0.797699987888336,0.797699987888336,0.82669997215271,0.82669997215271,0.82669997215271,0.905600011348724,0.905600011348724,0.905600011348724
0.740400016307831,0.740400016307831,0.740400016307831,0.760500013828278,0.760500013828278,0.760500013828278,0.850899994373322,0.850899994373322,0.850899994373322,0.860099971294403,0.860099971294403,0.860099971294403,0.786899983882904,0.786899983882904,0.786899983882904,0.7882000207901,0.7882000207901,0.7882000207901,0.86599999666214,0.86599999666214,0.86599999666214
0.704800009727478,0.704800009727478,0.704800009727478,0.742900013923645,0.742900013923645,0.742900013923645,0.850799977779388,0.850799977779388,0.850799977779388,0.818599998950958,0.818599998950958,0.818599998950958,0.77590000629425,0.77590000629425,0.77590000629425,0.754700005054474,0.754700005054474,0.754700005054474,0.827199995517731,0.827199995517731,0.827199995517731
0.726599991321564,0.726599991321564,0.726599991321564,0.731700003147125,0.731700003147125,0.731700003147125,0.822200000286102,0.822200000286102,0.822200000286102,0.835200011730194,0.835200011730194,0.835200011730194,0.758199989795685,0.758199989795685,0.758199989795685,0.749000012874603,0.749000012874603,0.749000012874603,0.841799974441528,0.841799974441528,0.841799974441528
1,1,1,1,1,1,0.916599988937378,0.916599988937378,0.916599988937378,0.908800005912781,0.908800005912781,0.908800005912781,1,1,1,1,1,1,0.897300004959106,0.897300004959106,0.897300004959106
