通道1,通道2,通道3,通道4,通道5,通道6,通道7,通道8
14.6999998092651,28.1000003814697,25.2000007629395,22,20.8999996185303,21.8999996185303,20.5,16.3999996185303
20.6000003814697,20.5,25.3999996185303,25.6000003814697,21.5,24.2000007629395,31,18.7999992370605
345.899993896484,358.600006103516,1.20000004768372,13.3000001907349,13.8000001907349,11.8999996185303,3.90000009536743,4.5
359.600006103516,5.19999980926514,2.70000004768372,13,0.800000011920929,14.6999998092651,8.69999980926514,2.40000009536743
11,6.80000019073486,19.1000003814697,23.1000003814697,19.5,21.3999996185303,14.6000003814697,18.7999992370605
17.6000003814697,16.7000007629395,21.8999996185303,21,22,17.7000007629395,22.8999996185303,18.6000003814697
9.60000038146973,31.6000003814697,27.1000003814697,34.5999984741211,36.7000007629395,30.1000003814697,34.5,39.2000007629395
349.399993896484,6,5.30000019073486,9.10000038146973,6.59999990463257,3.09999990463257,359.899993896484,146.399993896484
356.399993896484,10.8999996185303,5.40000009536743,7.19999980926514,353.899993896484,11.1000003814697,3.79999995231628,353.299987792969
351.899993896484,11.6000003814697,13.8999996185303,12.8000001907349,4,12.6999998092651,15.1000003814697,14.6999998092651
348.700012207031,340.799987792969,351.600006103516,4.90000009536743,344.299987792969,354.5,345.700012207031,347.799987792969
10.1000003814697,12.5,14.5,19,18.7999992370605,19,25.8999996185303,12.6000003814697
341.200012207031,356.399993896484,358.700012207031,354.5,1,354.600006103516,358.799987792969,1.70000004768372
330.200012207031,316.600006103516,339.799987792969,326.600006103516,322.399993896484,333.799987792969,340.899993896484,331.600006103516
331.899993896484,337.799987792969,339,340.5,354.700012207031,356.700012207031,357.5,338.700012207031
356.600006103516,4.69999980926514,14.6999998092651,13.1000003814697,11.6000003814697,16.7999992370605,13.3000001907349,7.30000019073486
334,335.5,355.799987792969,360,357.799987792969,351.600006103516,358.399993896484,341
349.399993896484,9,3.59999990463257,3.40000009536743,4.59999990463257,6.59999990463257,357,357.299987792969
8.89999961853027,32.7000007629395,27.2000007629395,24.7000007629395,24.6000003814697,22.3999996185303,27.3999996185303,13
10,23.2000007629395,24.5,13.8999996185303,18.2000007629395,20.7000007629395,24.7999992370605,30.2999992370605
7,32.9000015258789,26.3999996185303,30.7999992370605,30.7999992370605,28.1000003814697,29.3999996185303,33.7000007629395
26,43.2999992370605,43.5999984741211,31.2999992370605,37.9000015258789,33.7999992370605,38.7999992370605,33.7999992370605
24.7999992370605,33,32.5,35.0999984741211,31.1000003814697,26.5,30.7999992370605,37.0999984741211
20.2999992370605,24.8999996185303,31.8999996185303,24.7000007629395,22.2000007629395,21.2000007629395,29,24
8.89999961853027,21,23.1000003814697,26.5,26.3999996185303,25.7000007629395,24.2999992370605,33.5
0,21,25,22.2000007629395,21,23.3999996185303,17.7000007629395,15.3999996185303
23.1000003814697,26.2000007629395,15.6999998092651,23.2999992370605,17.6000003814697,27,23.3999996185303,20
13.1000003814697,32,25.1000003814697,25.3999996185303,20.5,31.5,29.2999992370605,28
20.6000003814697,29.2999992370605,25.7999992370605,35.5,17.8999996185303,34.2000007629395,23.7999992370605,30
19.7999992370605,25.3999996185303,19.8999996185303,12.6999998092651,12.5,11.3999996185303,19.6000003814697,15.1000003814697
359.100006103516,19.6000003814697,18.7000007629395,19.7000007629395,19.7000007629395,9.60000038146973,10.1000003814697,23.2000007629395
22.8999996185303,20.2999992370605,29.5,12.8999996185303,13.3000001907349,10.8000001907349,23.5,19
7,22.7000007629395,14,19.2000007629395,22,26.7000007629395,30.3999996185303,19.2000007629395
22.8999996185303,50.4000015258789,38.5,32.9000015258789,35.7999992370605,42,42.5,37.5
24.7999992370605,36,34.7000007629395,40.4000015258789,41.2000007629395,36.2999992370605,44.2000007629395,30.3999996185303
9.30000019073486,30.5,23.1000003814697,37.4000015258789,33,29,33.5,22.2000007629395
