通道1,通道2,通道3,通道4,通道5,通道6,通道7,通道8
359.22,357.85,351.81,3.86,354.11,1.68,359.14,350.79
352.49,4.12,359.73,9.09,8.84,20.37,19.22,14.04
345.15,5.23,1.67,6.08,8.31,358.95,2.83,3.50
353.13,6.30,15.68,15.09,23.17,11.36,12.87,23.39
10.85,9.45,14.26,19.21,18.48,18.47,16.33,16.52
3.15,8.69,7.90,14.31,6.27,13.42,11.47,8.25
3.56,358.90,5.46,4.71,11.14,10.26,356.86,10.39
12.42,14.48,9.47,14.66,20.56,22.18,17.63,8.69
14.88,10.77,22.14,15.19,23.04,13.13,19.71,18.89
3.08,11.68,15.78,20.71,14.98,8.35,20.28,5.67
1.06,6.13,6.88,8.97,5.85,9.36,10.33,7.96
357.15,356.86,9.63,3.52,2.89,7.64,20.47,359.31
7.41,10.01,11.73,11.75,6.24,4.63,4.65,1.09
20.68,11.34,18.31,16.77,15.97,17.12,14.20,5.83
354.01,2.05,1.30,0.82,0.96,359.78,359.89,0.16
348.43,359.30,1.35,1.97,6.65,5.28,6.78,357.34
8.04,19.66,20.41,25.80,17.11,19.21,12.52,11.63
1.23,10.27,7.68,3.67,6.01,4.91,358.78,4.74
9.20,9.35,13.55,12.64,13.15,8.94,2.64,12.53
2.10,17.51,14.72,12.32,12.34,20.99,13.63,10.09
37.08,37.16,31.20,42.94,40.50,37.71,38.11,35.83
24.73,28.49,29.51,34.93,34.33,44.93,33.87,31.04
11.12,18.38,25.78,23.41,20.25,22.92,18.75,19.35
9.07,15.04,24.49,20.63,18.16,21.04,20.17,10.51
22.47,12.41,14.44,17.32,26.56,15.33,26.22,8.15
21.80,16.70,28.12,20.54,23.99,16.46,24.14,14.82
13.27,25.70,29.99,19.02,27.24,20.95,14.61,13.95
24.68,33.64,34.53,38.77,37.68,38.21,38.72,18.88
23.77,33.56,31.61,28.42,22.12,38.19,25.76,30.56
35.86,32.43,36.27,39.03,25.37,28.16,33.06,33.22
8.95,17.12,19.07,18.80,16.26,10.18,17.46,18.40
9.19,13.13,11.11,29.39,14.27,17.45,24.91,3.35
1.29,11.47,16.07,22.21,15.53,15.02,20.02,16.27
0.89,17.40,6.16,11.22,14.19,5.25,6.43,3.54
2.34,19.37,13.73,19.99,7.33,8.78,10.48,12.11
5.01,355.35,359.39,9.93,5.18,2.94,350.60,347.11
