通道1,通道2,通道3,通道4,通道5,通道6,通道7,通道8
0.11,353.25,350.56,4.52,353.03,2.60,351.14,354.99
2.16,1.63,6.36,14.13,10.29,20.92,16.96,16.70
352.52,0.49,0.42,7.33,7.47,0.94,1.20,5.93
357.04,4.47,13.82,12.94,19.26,7.69,8.46,26.07
13.51,6.19,13.12,17.97,14.56,11.89,11.56,17.37
4.74,12.99,11.30,17.94,6.18,15.27,7.88,6.77
5.35,354.34,1.80,1.63,11.57,11.04,355.73,5.49
12.51,11.16,12.23,14.91,14.91,16.15,11.95,10.57
9.18,5.32,15.35,11.96,18.88,12.63,11.72,15.93
12.97,11.30,17.29,22.53,11.44,7.81,14.90,11.28
4.85,3.70,3.65,6.05,0.49,3.95,7.49,6.72
352.43,358.84,6.50,2.36,357.86,1.85,18.03,0.35
5.56,1.76,6.00,12.48,1.70,2.43,358.87,0.75
23.35,8.17,19.55,15.86,11.10,16.97,7.23,7.22
355.57,356.31,358.41,357.48,0.13,0.32,358.36,359.86
347.38,354.11,358.49,359.71,4.76,357.48,358.64,354.56
3.85,11.33,16.90,24.19,10.96,15.01,7.54,7.85
7.44,2.67,8.50,4.43,4.62,4.82,358.57,5.74
8.88,3.13,9.41,10.89,10.50,5.79,359.22,3.83
358.83,8.86,12.22,8.87,9.59,21.25,5.26,8.23
33.05,29.67,27.74,41.05,34.33,29.51,31.03,27.69
23.94,23.04,30.87,33.36,30.48,43.73,29.15,30.80
7.49,9.87,23.26,19.37,16.13,14.50,14.31,15.21
10.26,10.83,26.40,17.48,11.70,15.35,11.60,9.01
17.65,2.65,5.12,9.02,20.55,7.41,19.15,8.63
19.36,10.83,25.87,19.64,18.58,13.92,15.85,15.89
7.59,18.82,24.97,13.78,20.28,18.73,12.25,8.41
25.49,27.05,31.76,34.34,28.83,35.59,30.04,21.88
27.08,28.58,28.85,24.13,19.84,31.94,20.88,23.59
35.82,31.02,37.76,41.97,24.70,30.65,28.25,35.46
6.91,17.14,15.60,14.60,14.92,10.05,8.09,17.59
11.43,7.81,13.49,26.79,9.98,13.78,16.47,8.95
1.08,4.18,11.08,17.05,7.06,10.41,10.48,16.03
6.70,15.06,6.10,9.45,12.88,6.16,1.23,3.19
4.79,18.71,11.64,16.04,4.42,5.90,6.40,10.22
9.49,352.77,0.27,12.79,7.69,5.04,345.98,351.19
