通道1,通道2,通道3,通道4,通道5,通道6,通道7,通道8
0.49,355.05,348.62,5.31,351.10,0.07,353.93,354.86
359.83,359.95,0.44,14.54,6.40,18.83,18.30,18.52
350.26,5.23,356.12,8.80,6.35,1.94,2.21,5.32
351.78,0.22,8.15,7.79,12.53,5.47,6.65,23.55
10.46,7.76,7.54,16.23,12.62,12.26,11.42,17.30
1.29,10.15,2.21,13.06,1.47,13.40,10.70,1.49
1.63,353.39,355.19,1.58,7.85,11.11,358.05,1.52
8.06,7.44,3.26,11.27,13.02,10.72,13.96,5.31
6.92,8.29,10.35,12.61,19.93,12.49,13.19,8.49
8.36,10.64,9.43,21.86,11.52,4.43,18.23,5.75
1.87,8.47,358.58,2.20,357.11,2.32,6.00,3.55
353.12,2.82,6.51,1.95,355.33,1.76,19.39,359.67
5.01,7.26,7.37,15.25,4.07,3.96,4.23,0.96
21.94,10.74,17.46,14.87,12.66,15.54,11.83,5.37
351.04,2.61,355.69,2.11,2.84,6.98,0.98,357.04
342.69,354.99,351.69,357.08,0.24,357.98,1.64,352.48
3.56,13.82,15.57,26.09,10.72,19.64,11.64,6.78
1.79,3.22,356.07,3.16,0.82,6.69,358.60,2.25
9.60,7.12,5.97,9.45,11.38,10.61,2.59,359.58
354.92,13.14,3.71,12.09,12.29,22.88,9.15,5.02
33.61,33.09,25.80,40.49,33.70,29.96,33.64,29.62
23.71,25.34,27.78,32.58,27.06,41.64,27.86,33.19
6.94,13.40,21.95,23.62,18.44,19.02,15.24,18.84
13.79,13.45,18.54,18.72,8.19,17.34,12.27,10.08
16.06,9.00,7.35,12.45,21.12,6.14,21.40,10.10
20.26,13.76,20.52,19.82,18.40,16.92,21.24,14.40
9.28,24.97,23.96,17.77,23.13,21.33,17.97,5.97
23.84,24.68,25.69,31.21,28.87,32.04,32.91,14.81
25.07,33.45,21.94,20.34,19.82,37.04,23.52,19.40
33.57,31.73,33.90,38.86,22.89,27.40,29.43,30.49
8.99,16.94,15.10,16.80,14.72,7.65,9.33,14.79
11.69,7.24,6.27,24.42,5.31,12.91,17.23,4.32
356.70,6.30,6.63,19.03,8.28,11.64,12.74,14.50
3.45,12.19,1.57,6.72,9.24,5.93,2.53,357.37
2.63,18.39,10.53,17.54,4.53,5.10,7.45,9.95
7.81,358.68,359.34,14.26,9.42,8.73,349.26,353.13
