通道1,通道2,通道3,通道4,通道5,通道6,通道7,通道8
359.43,358.10,352.52,3.28,353.35,0.84,358.92,352.44
354.34,4.28,0.52,9.76,8.79,20.04,19.49,13.87
345.99,4.13,1.61,6.12,7.09,358.19,2.54,4.68
353.25,4.83,15.66,12.63,21.54,8.96,11.51,22.63
9.45,7.47,13.39,16.69,16.25,16.13,15.02,14.40
0.06,6.81,7.40,12.67,5.69,11.50,8.57,5.97
359.99,357.13,3.73,2.12,8.20,8.26,354.67,7.70
10.85,13.01,9.24,13.10,18.27,18.89,16.82,6.15
10.70,10.05,19.85,14.30,20.09,10.99,16.98,15.65
0.86,9.54,14.72,19.75,12.63,5.83,18.68,3.72
358.21,3.51,4.98,5.73,2.99,6.15,7.86,5.52
355.16,355.37,9.18,3.04,2.44,5.28,19.32,358.77
6.79,7.28,10.66,9.65,4.64,2.02,2.32,359.24
19.22,10.07,17.47,14.64,14.21,15.50,12.86,4.25
351.02,358.78,1.50,359.01,359.41,357.03,357.51,357.64
347.36,356.57,0.92,0.27,5.27,3.61,5.35,355.58
6.57,17.21,19.73,24.62,15.09,17.57,10.82,9.55
359.88,7.89,7.00,1.95,4.18,3.47,357.98,2.08
7.77,8.21,12.00,10.57,11.02,7.42,0.74,9.03
358.08,12.32,10.96,7.33,9.69,15.68,8.25,4.34
30.66,32.59,27.59,38.58,34.47,33.09,33.66,29.22
20.80,24.36,26.85,30.15,29.43,40.61,29.56,27.44
6.52,12.48,22.38,17.69,16.54,17.43,14.31,14.96
5.08,10.60,22.45,16.96,15.00,16.49,15.55,7.84
20.63,7.87,11.24,11.59,23.02,10.42,23.76,8.99
17.91,13.31,25.51,17.10,20.12,11.97,19.82,10.69
8.11,20.48,27.18,14.37,22.98,16.86,10.58,9.52
18.58,29.05,30.58,33.76,33.11,33.06,35.28,14.29
19.91,29.04,27.42,24.33,18.92,33.95,21.85,24.85
31.44,28.26,33.32,35.25,22.04,24.50,29.29,29.07
3.53,12.28,14.44,14.14,12.37,5.10,13.37,15.50
5.57,9.91,7.99,26.49,10.02,13.50,20.58,359.96
356.41,7.60,12.47,17.93,10.75,10.35,15.15,12.20
357.61,14.04,3.30,7.60,10.68,1.98,2.74,359.44
357.54,17.15,10.03,15.53,3.55,4.20,6.99,8.12
0.87,351.66,359.67,7.34,3.45,358.89,349.17,344.08
