通道1,通道2,通道3,通道4,通道5,通道6,通道7,通道8
0.24,350.72,348.96,2.89,351.42,0.18,350.16,353.80
1.95,358.19,3.14,12.79,8.16,18.14,14.57,15.71
351.30,359.05,357.32,5.39,6.12,358.48,0.13,4.12
354.76,0.08,9.46,10.47,16.13,3.59,5.48,21.68
11.49,3.75,10.00,14.88,10.51,9.05,8.40,15.29
3.54,8.86,6.57,15.15,1.59,11.84,4.69,5.43
4.50,349.38,358.40,359.22,7.95,7.78,353.44,2.65
10.08,6.25,6.87,12.37,10.85,11.92,8.34,7.53
6.22,3.10,10.20,9.79,16.38,8.43,9.27,59.85
10.01,7.60,11.62,19.99,7.87,3.39,13.12,7.56
1.62,0.55,0.10,2.48,356.36,359.36,4.17,2.84
350.20,354.94,1.54,359.84,352.84,357.94,13.72,357.48
4.41,356.94,2.30,10.02,357.41,358.08,356.42,357.78
21.68,3.22,14.99,13.48,6.92,12.12,4.77,3.43
351.83,353.96,352.26,354.95,357.75,356.94,355.98,356.70
342.91,349.47,352.14,355.68,358.16,351.83,354.80,350.53
0.57,7.04,11.55,20.53,7.21,10.64,4.82,3.82
1.60,357.20,0.60,1.41,359.13,0.07,354.62,2.13
6.16,358.57,4.86,6.36,6.85,0.63,356.61,358.60
352.36,4.07,3.86,4.71,5.13,14.94,1.23,3.04
28.27,23.46,21.76,35.44,29.09,23.77,25.68,22.56
19.42,17.53,24.49,28.96,24.32,37.39,23.53,26.95
4.14,3.67,18.12,13.95,10.60,10.13,9.45,10.31
6.23,5.34,18.87,12.30,5.57,8.91,6.45,4.68
12.49,356.57,359.72,5.57,14.67,1.94,13.39,3.29
13.68,4.68,17.82,14.60,11.83,8.23,10.60,10.97
3.73,14.34,18.03,9.40,13.77,14.64,7.55,2.68
19.81,19.97,23.52,29.27,22.29,29.80,24.24,16.86
23.09,23.40,22.55,17.79,14.07,26.48,16.95,17.03
30.56,24.80,30.25,36.45,18.21,23.52,22.50,29.36
1.77,10.45,7.79,9.69,8.24,2.59,2.06,11.21
6.37,0.28,5.32,20.86,1.70,7.57,8.46,2.93
354.11,357.67,2.22,10.62,0.02,2.77,3.33,10.19
0.29,7.79,357.88,2.49,4.56,358.68,354.42,356.08
359.22,11.33,4.67,9.10,357.36,357.86,359.66,4.15
1.34,346.87,350.73,7.00,0.34,357.84,338.69,344.40
