通道1,通道2,通道3,通道4,通道5,通道6,通道7,通道8
359.87,359.55,354.44,3.63,353.38,2.52,359.57,354.91
356.24,6.03,2.44,11.51,10.04,21.05,21.24,15.08
345.25,3.61,2.57,6.31,6.76,358.94,2.33,6.74
353.34,4.37,16.11,10.76,19.99,6.99,10.98,22.27
7.06,5.01,12.57,15.39,14.42,13.80,13.64,13.21
356.96,6.70,7.30,12.58,5.42,11.10,7.52,4.82
356.41,356.07,2.81,0.18,6.68,6.73,354.09,4.85
9.24,12.31,9.15,12.25,16.14,16.33,15.38,5.32
6.62,6.49,20.52,11.87,19.17,8.50,15.25,14.08
359.96,7.97,13.25,18.91,10.23,4.28,16.59,2.49
355.77,1.24,2.47,3.38,359.70,2.90,5.63,2.55
350.90,354.17,7.89,2.71,1.73,3.84,17.67,357.96
2.95,5.33,9.89,8.79,2.39,0.12,0.83,357.30
17.86,8.19,16.89,12.25,11.52,14.03,10.64,2.10
346.69,355.59,1.28,356.88,357.47,355.05,354.75,355.49
345.90,354.52,359.71,357.68,3.73,0.89,3.60,353.29
2.37,14.56,18.59,23.41,12.09,15.65,7.90,7.35
358.56,5.53,6.27,359.26,2.39,1.46,357.55,359.77
5.42,5.94,10.32,7.90,9.47,5.42,358.98,4.95
354.00,7.71,7.58,2.62,6.29,11.90,3.07,359.35
25.31,28.03,24.26,33.48,29.22,27.98,29.11,23.18
16.52,19.43,23.39,25.22,24.11,35.81,24.26,22.46
358.78,6.44,18.39,11.85,11.44,11.90,8.56,9.61
359.50,5.53,19.51,13.03,11.29,11.23,10.08,3.56
12.03,3.40,6.24,4.95,17.44,3.92,18.72,2.66
12.70,8.94,21.87,12.72,15.45,6.95,14.32,5.94
1.44,14.21,22.72,9.00,16.92,11.39,5.40,3.32
13.40,23.18,27.02,27.62,27.47,27.69,30.38,9.02
14.29,23.18,23.01,18.45,13.52,27.66,17.35,17.54
25.47,23.98,29.73,31.13,17.94,20.46,24.26,24.15
356.77,7.50,9.39,8.80,6.71,0.27,7.31,11.10
359.52,5.22,4.93,22.37,4.96,8.06,15.33,355.19
350.25,2.04,8.57,12.64,4.57,5.01,10.17,8.10
353.03,10.50,359.97,3.07,5.93,358.16,358.40,353.91
352.55,13.72,5.91,10.36,359.74,359.02,3.15,2.71
355.52,348.08,358.51,3.89,0.44,354.59,345.95,341.65
