通道1,通道2,通道3,通道4,通道5,通道6,通道7,通道8
-0.08,0.06,0.30,0.51,0.52,0.90,0.64,1.32
0.99,0.20,0.69,0.85,1.15,1.15,0.88,1.98
0.33,1.47,1.51,1.18,1.15,1.46,1.03,2.15
0.14,0.53,1.06,0.93,1.02,0.66,0.74,2.16
0.00,0.52,0.65,0.77,0.92,1.19,0.70,2.49
-0.57,1.13,0.99,1.29,1.01,1.39,1.25,1.45
0.08,0.51,0.89,1.22,1.16,1.66,0.94,1.93
-0.07,0.64,0.29,0.56,0.81,0.78,1.57,1.98
0.01,1.24,1.39,1.18,1.01,1.14,1.19,1.26
0.76,1.48,1.79,1.20,1.20,0.84,1.24,1.83
0.87,1.11,1.45,0.83,0.66,1.29,1.08,2.29
-0.19,1.22,0.82,1.06,0.92,1.21,1.22,1.76
-0.57,0.61,1.31,1.10,0.85,1.50,1.13,1.71
0.43,1.09,1.26,1.19,1.60,1.10,1.54,1.43
0.08,1.69,1.54,1.18,1.15,1.36,1.00,1.66
0.46,1.12,0.89,1.08,1.34,1.16,1.36,2.44
-0.02,0.93,1.06,0.77,1.46,1.79,1.33,1.86
0.98,1.38,0.78,0.95,1.06,1.36,1.32,1.85
0.32,1.07,1.40,1.14,1.41,1.70,0.81,1.78
0.83,1.50,0.97,1.15,1.22,1.35,1.08,1.45
-0.12,1.12,1.12,1.64,1.49,1.89,1.09,2.20
0.35,1.35,1.51,1.51,1.62,1.62,0.94,2.63
0.35,0.75,1.40,1.45,0.86,1.05,0.96,2.58
0.02,1.29,1.64,1.34,1.46,1.25,1.39,1.63
0.68,0.41,1.09,1.18,1.10,1.22,1.15,2.65
1.27,0.45,1.24,0.96,1.23,0.96,1.54,1.75
0.25,1.39,1.86,1.53,1.33,1.75,1.08,1.52
0.18,1.38,1.33,0.84,1.31,1.11,1.61,1.64
0.54,1.26,2.01,1.66,1.46,1.60,1.24,1.82
-0.10,1.45,1.28,1.35,1.04,0.97,1.04,1.55
-0.37,0.37,0.97,1.07,0.92,1.49,1.17,1.98
0.75,1.05,0.65,1.20,1.30,1.15,1.41,1.84
0.40,1.24,1.66,1.27,1.16,1.66,1.23,1.70
1.12,1.44,1.77,1.35,1.22,1.09,1.05,1.54
0.71,1.11,1.47,1.45,0.70,1.19,0.45,2.39
0.87,1.33,1.62,1.48,1.51,1.32,0.94,2.18
