通道1,通道2,通道3,通道4,通道5,通道6,通道7,通道8
359.62,354.00,347.33,2.51,352.91,1.29,354.27,349.54
343.52,4.35,355.63,10.01,5.43,19.58,19.06,16.29
346.31,3.32,0.70,6.58,7.17,358.62,0.44,4.64
347.70,4.52,13.88,15.08,17.16,6.95,10.97,17.98
6.42,6.54,11.18,19.19,20.50,15.66,13.13,17.28
359.72,9.88,4.03,13.99,1.09,12.86,10.51,9.70
1.06,356.91,2.19,4.54,10.18,7.36,357.21,9.72
9.10,13.07,5.70,13.76,16.30,19.04,9.31,7.29
13.65,4.99,18.98,14.57,19.99,10.72,18.72,18.09
2.40,9.74,14.58,22.02,10.96,5.71,19.01,4.80
0.48,2.79,4.23,9.61,5.61,10.18,8.82,8.27
355.14,356.23,6.09,358.72,357.64,4.87,14.70,356.45
4.73,6.50,9.08,6.70,1.88,1.69,2.01,0.30
18.82,9.43,16.59,14.28,12.79,16.29,9.18,5.56
354.20,359.59,355.50,358.39,357.73,356.26,357.53,359.03
342.69,355.58,355.37,357.39,0.18,359.89,0.74,355.91
5.02,16.87,18.45,22.23,14.69,15.12,7.46,10.36
354.27,8.14,3.50,1.21,1.60,0.12,355.08,3.37
5.05,2.37,11.38,10.96,11.47,7.89,359.23,9.68
0.25,15.49,11.51,9.04,6.64,13.56,10.56,13.01
37.13,35.79,25.58,41.45,39.43,34.38,35.24,32.53
23.33,28.28,22.73,33.73,31.22,38.66,32.47,26.92
10.10,17.08,24.70,21.44,18.64,20.88,15.65,17.51
4.35,9.57,14.11,13.25,9.42,16.95,13.94,5.89
10.83,7.01,6.13,14.39,18.13,10.02,16.24,8.58
12.71,11.93,19.19,16.52,18.07,10.91,20.85,10.24
10.47,16.76,24.36,14.08,22.90,15.80,10.73,12.22
17.29,29.37,29.04,35.78,29.81,33.59,26.61,14.02
19.82,31.36,27.15,24.05,13.68,33.46,23.58,28.09
33.08,29.95,31.81,38.19,19.52,25.35,30.12,33.97
12.74,15.25,19.32,20.56,14.47,9.89,14.69,16.31
6.00,8.12,7.72,20.88,9.56,12.92,21.05,358.82
358.29,5.03,12.14,16.08,9.81,10.88,14.70,14.88
357.64,10.19,0.55,8.48,6.73,2.64,3.01,1.19
356.37,10.56,6.54,15.30,1.71,1.33,2.75,8.50
355.06,350.10,348.25,2.64,354.91,359.00,341.27,344.94
