通道1,通道2,通道3,通道4,通道5,通道6,通道7,通道8
0.29,0.67,0.42,0.87,0.36,0.92,0.35,0.96
1.12,0.62,1.35,0.97,0.96,1.04,0.92,1.97
1.26,1.59,1.44,1.53,1.00,1.80,1.76,1.57
0.95,0.79,1.20,1.15,0.62,0.61,0.95,2.16
0.60,1.32,0.99,1.25,0.91,1.09,1.25,2.27
0.41,1.93,1.42,1.48,0.66,1.61,1.65,1.17
0.53,0.87,0.85,1.10,1.15,2.11,1.88,1.45
0.51,1.35,0.98,1.21,0.54,0.56,1.50,1.91
0.12,1.15,1.10,1.35,1.07,1.77,1.60,1.05
1.70,1.62,1.82,1.48,0.82,1.13,1.36,1.92
1.91,1.62,1.02,0.79,0.29,1.03,1.59,2.32
0.35,1.78,1.31,1.10,0.28,1.03,1.48,2.13
0.08,0.77,1.29,1.15,0.99,1.90,1.48,1.71
0.91,1.23,1.58,1.25,1.40,1.25,1.30,1.71
0.60,1.78,1.22,1.17,0.80,1.64,1.63,1.41
0.95,1.67,1.13,1.48,1.02,0.92,1.19,2.33
0.38,0.88,1.39,0.96,0.88,1.75,1.62,1.62
1.78,1.10,0.80,1.01,1.09,1.49,1.41,1.78
1.29,0.97,1.20,0.81,0.95,1.89,1.20,0.80
1.16,1.49,1.17,1.48,1.06,1.73,1.56,1.34
1.09,1.58,1.30,2.01,1.20,1.84,1.58,1.51
1.45,1.67,1.76,1.45,1.19,1.59,1.22,2.24
0.82,1.23,1.64,1.51,0.97,1.02,1.60,1.89
1.49,1.87,1.94,1.34,0.94,1.44,1.54,1.79
0.29,1.18,1.18,1.59,1.10,1.12,1.55,2.13
0.95,0.90,1.32,1.37,1.00,1.39,1.56,1.69
0.82,1.38,1.76,1.57,0.71,2.07,2.07,1.54
1.32,1.56,1.44,1.25,0.83,1.43,1.68,1.58
1.66,1.81,1.64,1.49,1.38,1.65,1.71,1.12
1.03,1.77,1.79,1.69,1.05,1.57,1.55,1.66
0.28,1.47,1.19,1.40,1.30,1.82,1.31,1.56
1.54,1.38,1.53,1.53,1.12,1.42,1.45,2.15
1.34,1.57,1.92,1.55,0.79,1.88,1.59,1.69
2.08,1.54,1.63,1.35,1.13,1.71,1.47,1.28
1.26,1.76,1.50,1.76,0.73,1.45,1.42,1.84
1.79,1.74,1.88,1.77,1.83,2.06,1.84,2.08
