通道1,通道2,通道3,通道4,通道5,通道6,通道7,通道8
359.51,356.74,350.02,3.71,354.92,2.65,357.52,350.82
348.61,5.81,357.74,12.42,7.34,22.70,21.35,16.82
348.41,5.75,4.28,7.13,9.91,1.39,3.18,5.54
350.39,7.34,15.30,16.28,21.29,10.38,12.74,21.67
11.51,9.85,12.96,22.65,19.36,18.06,15.67,17.89
3.84,11.92,7.52,15.80,4.36,15.00,12.78,11.08
5.42,359.27,5.24,6.06,12.49,9.33,359.26,10.75
11.67,14.00,7.56,15.51,19.00,21.84,13.93,9.12
17.51,9.57,21.72,16.40,22.68,13.38,21.14,19.50
4.92,11.71,16.08,22.46,13.07,8.05,20.56,6.47
2.96,6.38,6.51,11.12,7.47,11.16,11.04,8.94
357.77,358.75,7.62,1.60,359.43,6.64,17.85,357.66
8.72,9.47,11.01,10.36,3.52,3.77,4.26,1.23
20.95,11.33,18.16,16.40,14.64,17.85,12.27,6.71
355.62,1.11,358.24,359.84,359.38,358.71,359.37,0.21
345.74,357.15,357.91,0.48,3.85,3.07,4.12,357.09
6.84,18.99,19.83,24.42,16.96,17.75,10.76,12.15
358.28,10.26,5.85,3.49,3.80,2.91,359.09,5.33
7.08,7.80,13.58,13.81,13.84,9.41,3.01,12.02
3.19,19.76,15.14,13.96,11.02,19.94,14.86,16.39
41.01,39.81,30.82,45.52,43.29,38.68,40.03,36.46
25.45,31.30,27.60,36.61,34.68,44.36,35.66,31.11
13.99,20.65,27.26,25.09,21.45,24.48,19.85,20.67
10.32,14.79,20.90,18.79,15.43,21.22,19.19,9.66
18.64,12.42,11.13,18.50,24.17,14.58,22.27,12.87
19.96,17.35,24.93,20.48,22.42,15.88,25.00,14.76
14.65,23.54,29.13,18.24,27.34,19.92,14.33,14.77
24.18,33.26,34.35,38.20,36.03,37.88,34.37,18.62
24.72,33.42,31.85,26.84,19.58,36.61,26.54,31.12
38.18,34.17,35.42,40.83,23.68,28.52,33.68,35.66
14.04,18.43,20.77,21.19,15.40,11.28,16.61,18.29
10.09,12.25,11.13,25.36,13.61,16.27,24.33,2.67
1.01,9.47,15.06,19.98,13.32,14.42,18.90,17.08
359.40,14.06,3.19,10.52,10.05,4.77,5.24,1.72
359.90,16.17,11.05,18.17,5.27,5.47,6.87,11.15
0.38,352.35,351.71,6.44,358.39,1.39,344.86,346.97
