通道1,通道2,通道3,通道4,通道5,通道6,通道7,通道8
0.03,-0.60,-0.71,-0.28,-0.99,-0.59,-0.54,0.15
0.07,-0.80,-0.81,-0.52,-0.48,-0.64,-0.21,0.79
0.49,0.79,-0.42,-0.15,-0.52,0.02,0.58,0.14
-0.25,-0.60,-0.61,-0.21,-0.52,-0.77,-0.05,1.02
0.62,0.28,-0.57,-0.48,-0.34,-0.23,-0.16,1.05
-0.10,0.25,-0.61,-0.37,-0.80,-0.06,1.01,-0.20
0.16,-0.69,-0.68,-0.30,-0.52,0.29,1.14,0.42
0.18,-0.36,-0.88,-0.09,-0.47,-0.94,0.61,0.70
-0.36,0.68,-0.46,0.02,-0.24,0.10,1.18,-0.36
0.81,0.60,-0.18,0.30,-0.02,-0.18,0.75,0.71
0.95,0.72,-0.48,-0.52,-0.89,-0.49,0.28,1.11
0.44,0.88,-0.01,-0.28,-0.76,-0.53,0.72,1.09
0.00,-0.07,0.04,0.24,-0.32,0.23,0.76,0.87
0.42,0.08,0.09,0.19,0.29,-0.38,0.75,0.69
-0.09,1.37,-0.74,0.11,-0.28,0.36,0.95,0.37
-0.10,0.62,-0.44,0.06,-0.34,-0.35,0.70,1.23
0.38,0.35,-0.08,-0.16,-0.25,0.58,1.28,0.80
0.27,-0.08,-1.37,-0.17,-0.23,0.17,0.87,0.32
0.11,0.29,-0.40,-0.74,-0.24,0.35,0.97,-0.17
0.21,0.96,-0.87,0.48,0.37,0.68,1.24,0.54
0.67,0.65,0.00,0.30,-0.03,0.26,0.86,0.72
1.04,1.17,0.30,0.50,0.09,0.33,0.44,1.31
0.79,0.36,0.11,0.15,-0.14,-0.20,0.58,0.99
1.45,1.09,0.16,0.25,-0.30,0.23,1.00,0.90
0.15,0.13,0.33,0.80,0.00,-0.23,0.44,0.98
0.50,-0.19,-0.14,-0.07,-0.34,-0.01,1.33,0.45
0.73,1.20,0.35,0.25,-0.67,0.53,1.26,0.54
0.60,0.20,-0.34,-0.04,0.15,-0.21,0.97,0.27
1.09,0.61,-0.18,-0.30,-0.11,0.47,1.17,-0.30
0.79,0.53,-0.18,-0.01,-0.23,-0.27,0.72,0.19
0.45,-0.03,0.01,0.26,-0.17,0.01,0.28,0.43
1.27,0.05,-0.37,0.30,-0.18,0.00,0.74,0.69
0.90,0.44,0.20,0.02,-0.19,0.20,0.72,0.58
1.16,0.41,0.09,-0.32,-0.37,-0.01,0.82,0.03
0.67,0.55,0.19,0.47,-0.47,-0.27,0.17,0.88
1.06,0.29,-0.39,0.12,0.29,0.15,0.68,0.60
