通道1,通道2,通道3,通道4,通道5,通道6,通道7,通道8
-0.07,0.10,-0.62,-0.58,-1.08,-0.60,-0.55,-0.13
-0.38,0.10,-0.33,-0.82,-0.44,-0.27,-0.16,0.68
0.28,1.06,0.11,-0.29,-0.98,0.05,0.50,-0.31
-0.25,-0.01,-0.10,-0.37,-0.44,-0.38,-0.20,0.86
0.29,0.82,-0.76,-0.33,-0.18,-0.17,-0.39,0.63
-0.49,0.57,-0.27,-0.63,-0.77,0.32,0.91,-0.47
-0.54,0.16,-0.39,-0.87,-0.79,0.24,1.16,0.54
-0.06,0.06,-0.62,-0.44,-0.57,-0.65,0.29,0.42
-0.52,0.43,-0.06,-0.63,-0.85,0.12,0.93,-0.42
0.36,0.68,0.41,0.06,-0.01,0.22,0.23,0.32
0.91,0.72,-0.72,-0.59,-0.74,-0.56,-0.12,0.92
0.12,0.98,0.11,-0.77,-0.65,-0.43,0.28,0.66
-0.83,0.40,0.27,-0.38,-0.24,0.17,0.39,0.44
-0.25,0.43,-0.05,-0.40,0.32,-0.13,0.24,0.53
0.07,1.14,-0.01,-0.47,-1.18,-0.05,0.47,-0.21
-0.34,0.86,-0.18,-0.27,-0.13,0.07,0.16,0.77
0.00,0.49,0.21,-0.85,-0.90,0.02,0.60,0.36
0.09,0.03,-0.66,-0.62,-0.34,0.40,0.52,-0.05
-0.12,0.40,-0.53,-1.33,-0.72,0.09,0.66,-0.14
0.19,0.88,-0.52,-0.24,-0.24,0.72,0.66,-0.09
0.38,0.90,-0.19,-0.24,-0.60,-0.23,0.35,0.13
0.60,1.28,0.31,-0.16,-0.10,0.30,-0.07,0.64
0.45,1.09,-0.25,0.01,-0.73,-0.63,0.07,0.59
0.64,0.74,0.31,-0.18,-0.32,0.38,0.36,0.42
-0.20,0.49,-0.09,0.05,-0.25,-0.64,0.26,0.65
0.01,-0.22,-0.01,-0.16,-0.48,0.20,1.08,0.02
0.58,1.03,0.40,-0.39,-0.94,0.08,0.74,0.62
0.29,0.45,-0.01,-0.35,-0.12,0.02,0.52,-0.15
0.73,0.61,-0.21,-0.45,-0.05,0.57,1.05,-0.57
0.57,0.57,0.05,-0.52,-0.23,0.09,0.58,-0.28
-0.18,0.64,0.54,-0.11,0.04,0.29,0.59,-0.02
0.82,0.41,-0.33,0.23,0.10,0.13,1.10,0.07
1.00,0.80,0.60,-0.35,-0.38,0.27,0.69,-0.10
1.02,0.27,0.42,-0.54,-0.32,0.31,0.80,-0.40
0.21,0.68,0.05,-0.01,-0.65,-0.31,0.02,0.41
0.94,0.25,0.20,-0.20,0.21,0.54,0.81,0.33
