通道1,通道2,通道3,通道4,通道5,通道6,通道7,通道8
0.18,-0.41,-0.29,0.21,-0.18,0.14,-0.60,0.39
0.53,-0.38,0.30,-0.02,0.15,-0.02,-0.02,1.07
1.05,0.64,0.11,0.36,0.06,0.69,0.77,0.52
0.21,-0.20,-0.07,0.19,0.02,-0.36,0.02,1.34
0.79,0.37,-0.06,0.15,0.08,0.01,0.02,1.42
0.27,0.74,0.22,0.28,-0.36,0.53,0.66,0.15
0.46,-0.47,-0.47,0.08,0.32,1.04,0.70,0.64
0.30,0.13,-0.12,0.25,-0.29,-0.49,0.48,1.16
-0.15,0.40,-0.12,0.20,0.09,0.80,0.88,0.18
1.29,0.82,0.46,0.31,-0.05,0.08,0.40,1.12
1.49,0.49,-0.12,-0.23,-0.54,-0.09,0.55,1.49
0.32,1.15,0.08,-0.05,-0.67,-0.11,0.72,1.40
-0.13,-0.27,0.09,0.31,0.09,0.70,0.55,1.00
0.43,0.20,0.39,0.37,0.46,0.18,0.32,0.92
0.56,1.01,-0.42,-0.03,-0.07,0.59,0.79,0.76
0.17,0.74,-0.02,0.48,0.18,-0.16,0.24,1.57
0.43,0.12,0.20,-0.02,0.23,0.80,0.94,1.11
0.96,-0.09,-0.36,0.11,0.11,0.40,0.65,0.89
0.53,-0.06,-0.03,-0.12,-0.01,0.78,0.42,0.34
0.19,0.71,-0.13,0.39,0.26,0.82,0.98,0.63
0.85,0.54,0.14,0.92,0.36,0.60,0.59,0.85
0.92,0.88,0.68,0.56,0.48,0.69,0.48,1.27
0.90,0.41,0.32,0.46,-0.05,-0.11,0.62,1.08
1.32,1.00,0.82,0.23,-0.16,0.44,0.70,0.99
-0.01,-0.05,0.04,0.85,0.34,0.35,0.54,1.41
0.24,-0.38,0.24,0.31,-0.01,0.32,0.92,0.89
0.61,0.93,0.67,0.40,-0.30,1.10,1.24,0.95
0.86,0.47,0.14,0.17,0.05,0.28,0.65,0.91
1.26,0.60,0.41,0.32,0.43,0.64,0.67,0.36
0.84,0.54,0.43,0.56,0.04,0.36,0.62,0.78
0.28,0.28,0.22,0.39,0.37,0.84,0.14,0.66
1.26,0.25,0.26,0.41,0.25,0.37,0.69,1.38
1.24,0.55,0.65,0.38,-0.10,0.74,0.48,0.89
1.65,0.54,0.49,0.23,0.12,0.45,0.66,0.48
1.03,0.65,0.42,0.63,-0.20,0.31,0.17,1.12
1.73,0.31,0.06,0.50,0.73,0.73,0.67,0.81
