通道1,通道2,通道3,通道4,通道5,通道6,通道7,通道8
0.17,0.73,0.50,0.77,0.61,1.06,0.78,1.27
1.07,0.39,0.77,0.65,1.27,1.23,1.08,1.76
0.47,1.93,1.50,1.29,1.26,1.78,1.57,2.00
0.47,0.59,1.10,0.93,0.96,0.94,0.89,2.01
0.08,1.13,0.86,0.71,0.85,1.43,1.46,2.47
-0.05,1.36,1.31,1.41,1.23,1.65,1.44,1.42
0.26,1.07,1.12,1.40,1.47,2.07,1.56,1.83
0.36,0.98,0.43,0.84,1.09,1.04,1.89,1.68
-0.06,1.39,1.38,1.22,1.35,1.38,1.63,1.36
1.04,1.80,1.69,1.43,1.40,1.22,1.65,1.83
1.28,1.59,1.45,0.71,0.71,1.29,1.72,2.51
0.08,1.23,1.05,1.07,0.94,1.37,1.40,1.84
0.02,1.02,1.37,0.97,1.25,1.84,1.51,1.71
0.71,1.20,1.38,1.41,1.75,1.15,1.81,1.48
0.01,2.19,1.77,1.31,1.40,1.57,1.57,1.78
0.75,1.29,1.38,1.26,1.08,1.29,1.68,2.24
0.09,1.12,1.06,0.92,1.40,1.99,1.93,1.83
1.49,1.49,0.91,0.87,1.41,1.66,1.32,1.77
0.82,1.69,1.36,1.04,1.32,1.91,1.27,1.54
1.24,1.53,1.04,1.45,1.37,1.79,1.30,1.13
0.30,1.41,1.17,1.77,1.45,2.13,1.64,1.95
0.80,1.57,1.60,1.51,1.64,1.80,1.14,2.40
0.45,0.87,1.42,1.43,1.02,1.34,1.63,2.28
0.83,1.68,1.84,1.50,1.60,1.57,1.66,1.76
1.35,1.18,1.54,1.54,1.29,1.33,1.90,2.59
1.89,0.82,1.31,1.23,1.55,1.44,1.68,1.57
0.48,1.72,1.70,1.60,1.40,2.09,1.69,1.46
0.61,1.66,1.34,1.08,1.60,1.53,1.87,1.52
1.01,1.73,2.19,1.60,1.74,1.86,1.91,1.78
0.46,1.61,1.71,1.47,1.31,1.39,1.42,1.46
-0.28,0.91,0.96,1.23,1.13,1.55,1.75,2.16
1.03,1.29,0.84,1.53,1.37,1.51,1.68,1.62
0.80,1.59,2.04,1.50,1.47,1.69,1.77,1.55
1.16,1.69,1.68,1.50,1.44,1.38,1.43,1.29
0.88,1.79,1.60,1.84,0.76,1.51,1.57,2.34
1.39,1.65,2.31,2.07,2.11,1.96,1.64,2.23
