通道1,通道2,通道3,通道4,通道5,通道6,通道7,通道8
359.63,352.44,345.39,1.77,351.99,0.91,352.46,347.91
340.57,3.32,353.53,8.31,3.52,17.48,18.20,16.24
342.98,0.89,359.55,4.31,6.49,355.58,0.13,2.34
345.90,2.55,14.62,14.96,15.75,4.25,10.44,15.69
5.44,7.30,10.67,19.67,22.48,15.76,13.01,18.32
359.55,9.72,4.01,13.29,359.66,12.77,10.03,10.89
359.61,354.53,0.82,3.53,9.65,6.52,356.68,9.99
8.88,12.74,5.40,12.67,15.66,17.98,6.68,4.91
13.68,1.37,18.29,12.64,19.13,8.77,18.35,18.36
1.63,9.38,14.99,21.93,10.11,5.04,18.50,4.30
1.05,0.73,3.57,8.58,5.45,10.20,8.72,9.71
355.95,355.75,6.73,357.59,357.50,5.27,14.15,357.33
4.66,5.63,9.86,3.62,2.96,1.46,1.80,1.59
20.10,7.62,17.92,13.03,12.83,15.93,7.71,5.68
354.37,359.72,355.24,357.87,358.72,354.44,356.85,359.54
342.14,355.18,355.93,356.32,358.52,359.38,0.11,356.52
4.95,16.54,18.74,21.23,14.68,14.68,6.17,10.65
354.02,8.17,3.78,0.22,1.86,359.67,352.95,4.40
5.15,0.29,10.90,10.69,11.38,9.11,357.90,10.12
358.55,12.25,9.71,3.02,2.89,8.10,6.42,9.18
34.69,31.61,20.29,37.01,36.57,30.98,31.67,29.30
22.46,26.20,19.99,31.90,28.59,34.20,29.74,23.52
9.50,13.86,24.19,18.10,17.97,19.74,13.06,16.06
1.54,6.34,9.79,9.17,4.60,14.80,10.36,3.65
6.10,4.32,4.07,10.59,14.42,6.34,12.90,6.68
9.82,9.11,16.64,13.52,16.55,7.47,19.00,6.59
8.97,13.17,21.74,12.25,20.45,14.86,9.23,11.90
15.90,28.09,28.75,35.85,28.65,32.46,22.78,12.32
17.80,31.29,26.09,21.95,10.10,32.52,23.14,25.98
32.79,28.45,31.43,37.71,17.12,23.85,29.31,34.49
13.03,14.25,20.32,21.02,14.82,9.86,14.60,16.42
5.37,7.76,7.93,18.33,9.29,12.80,21.21,357.03
357.72,3.33,12.00,15.40,9.20,10.31,13.22,15.23
359.22,8.49,359.73,10.38,6.36,3.12,4.29,2.12
355.75,8.81,5.78,16.07,1.11,359.60,2.32,7.69
355.94,349.20,351.85,1.65,358.18,0.44,341.60,346.39
