通道1,通道2,通道3,通道4,通道5,通道6,通道7,通道8
0.01,-0.14,-0.57,-0.16,-1.00,-0.42,-0.29,0.24
-0.12,-0.36,-0.63,-0.47,-0.42,-0.32,0.06,0.95
0.46,1.14,-0.08,0.09,-0.48,0.31,0.78,0.22
-0.18,-0.20,-0.27,-0.19,-0.43,-0.40,0.20,1.27
0.50,0.71,-0.49,-0.20,-0.09,0.10,0.11,1.13
-0.11,0.62,-0.40,-0.35,-0.62,0.37,1.40,-0.11
-0.02,-0.18,-0.50,-0.29,-0.37,0.50,1.45,0.61
0.08,0.04,-0.70,-0.04,-0.28,-0.61,0.86,0.78
-0.28,0.87,-0.17,0.04,-0.16,0.39,1.41,-0.33
0.74,0.81,0.19,0.32,0.25,0.19,0.92,0.72
0.96,1.13,-0.41,-0.41,-0.63,-0.22,0.42,1.22
0.40,1.18,0.28,-0.27,-0.51,-0.27,0.89,1.10
-0.29,0.45,0.26,0.22,-0.10,0.48,0.92,0.99
0.15,0.57,0.24,0.07,0.59,-0.07,0.94,0.78
-0.15,1.62,-0.23,0.26,-0.25,0.61,1.07,0.25
-0.08,0.98,-0.25,0.05,-0.06,0.11,0.86,1.29
0.27,0.64,0.20,-0.11,-0.33,0.80,1.35,0.78
0.32,0.31,-1.17,-0.21,-0.11,0.49,1.00,0.33
0.20,0.60,-0.29,-0.77,-0.12,0.62,1.18,-0.11
0.31,1.21,-0.63,0.45,0.41,1.00,1.26,0.52
0.71,1.04,0.23,0.39,-0.06,0.41,1.08,0.75
1.10,1.47,0.43,0.40,0.21,0.50,0.55,1.37
0.64,0.91,0.13,0.40,0.02,-0.06,0.61,1.16
1.37,1.27,0.34,0.28,-0.04,0.55,1.14,0.95
0.08,0.59,0.50,0.75,0.14,-0.19,0.70,1.08
0.46,0.23,0.08,0.09,-0.09,0.34,1.57,0.49
0.78,1.38,0.53,0.34,-0.49,0.58,1.34,0.75
0.67,0.54,0.04,0.08,0.39,0.08,1.19,0.21
1.04,0.95,-0.05,-0.13,0.12,0.86,1.42,-0.26
0.84,0.86,0.09,0.01,0.02,0.01,0.99,0.22
0.44,0.40,0.37,0.45,0.15,0.26,0.68,0.50
1.22,0.47,-0.26,0.44,0.05,0.28,1.20,0.66
0.94,0.88,0.57,0.23,0.04,0.55,1.13,0.56
1.16,0.57,0.35,-0.25,-0.24,0.38,1.10,0.05
0.54,0.86,0.35,0.60,-0.24,0.00,0.41,0.89
1.13,0.59,0.07,0.16,0.45,0.51,1.04,0.86
