通道1,通道2,通道3,通道4,通道5,通道6,通道7,通道8
0.44,0.69,356.15,6.47,356.35,5.69,359.28,354.97
0.63,7.83,10.19,18.02,12.83,25.85,22.01,19.54
350.81,5.10,7.07,12.27,9.33,6.75,4.01,10.54
358.61,7.86,20.75,15.14,22.86,10.62,14.03,26.93
9.67,9.50,16.68,21.50,17.34,16.00,16.87,17.79
2.30,15.75,15.17,20.46,9.03,17.57,12.28,8.22
1.77,0.34,7.80,3.73,13.81,12.37,0.78,7.00
10.77,17.41,16.45,17.65,19.11,20.13,17.76,10.51
9.63,7.37,21.55,16.58,21.25,16.83,13.13,18.37
8.95,13.75,21.79,25.34,14.80,10.32,20.41,9.53
2.44,7.39,7.35,8.74,3.70,7.94,10.76,7.37
354.06,0.77,13.47,7.86,2.51,8.12,22.27,2.66
2.57,8.88,13.08,15.71,6.96,6.96,4.57,1.93
22.68,12.89,24.35,18.07,15.14,21.51,13.34,8.67
352.04,359.66,7.54,1.68,2.27,2.60,1.02,359.98
351.04,358.97,5.10,3.85,10.08,3.46,5.13,357.98
4.07,16.50,23.72,27.95,14.38,20.04,11.38,10.23
8.62,10.82,13.87,7.68,9.68,8.63,3.86,6.39
12.12,8.72,16.04,13.08,13.80,11.55,3.09,6.82
3.06,12.68,18.74,12.25,13.81,23.48,9.63,9.57
34.67,34.98,32.99,44.05,37.53,35.00,36.22,29.24
24.96,26.37,34.93,34.64,33.18,46.06,32.81,31.23
3.84,14.54,27.86,22.82,18.96,19.57,16.72,17.34
9.11,13.68,31.95,21.66,17.12,19.99,16.31,11.10
19.61,8.73,10.94,11.60,24.49,11.31,24.86,11.17
18.98,16.91,30.55,22.93,22.72,17.53,19.67,17.32
6.66,20.45,30.23,17.69,23.73,20.44,14.47,9.32
25.40,30.89,38.34,37.10,33.32,38.47,37.02,20.91
25.12,30.81,33.17,26.55,22.10,35.52,23.76,24.86
36.36,34.88,42.90,44.37,28.82,34.41,33.11,36.92
7.77,20.68,19.39,18.96,18.26,14.17,14.34,19.28
9.29,13.39,18.12,31.05,14.40,17.27,22.28,8.05
0.17,9.75,18.77,21.66,11.67,16.09,17.31,17.38
5.14,19.99,10.86,13.04,16.26,11.05,5.82,4.69
3.51,23.67,17.09,20.29,9.11,11.88,12.16,11.76
6.61,359.63,9.47,16.31,12.26,8.39,354.39,354.06
